Date,Review,Score
"Dec 2, 2022",I loved it as child. Somethings don't hold up after so many years but the story is still good. It has humor and still to this day gives you a desire to adventure.,NEUTRAL
"Dec 2, 2022",Rings of power was so terrible this looks like a masterpiece. And it is good entertainment.,NEUTRAL
"Dec 2, 2022",A mythical adventure about over coming the odds for the good of the planet. Great movie for those that enjoy an original story with the most unlikely protagonist.,NEUTRAL
"Dec 2, 2022","Excelente filme. Heroísmo, aventura, fantasia. Um dos melhores filmes de todos os tempos.",NEUTRAL
"Dec 2, 2022",Its got some issues but I enjoyed it,NEUTRAL
"Dec 2, 2022","A fun, wholesome movie. Definitely a gem of it's time.",NEUTRAL
"Dec 2, 2022",Love it!  Classic Fantasy!  Action adventure start to finish!,NEUTRAL
"Dec 2, 2022",The 1988 Willow is a classic.  Remember seeing this as a child and really enjoying it.,NEUTRAL
"Dec 2, 2022","Loved this as a kid, even visited the set in wales, UK. Great old movie,.",NEUTRAL
"Dec 1, 2022",A classic fantasy with lots of Gen X nostalgia!,NEUTRAL
"Dec 1, 2022","Great movie about a person who is counted out and discarded as someone who can't make a difference and ends up saving the world. Great acting, great story, great wardrobe, great cinematography. Great sets.",NEUTRAL
"Dec 1, 2022",Lotr does compare as a cult classic.,NEUTRAL
"Dec 1, 2022",Willow is one of the greatest fantasy movies ever made and I will accept no criticism,NEUTRAL
"Dec 1, 2022",Great Movie   BOOOOOO Disney,NEUTRAL
"Dec 1, 2022",One of the classics. ,NEUTRAL
"Nov 30, 2022",Modern fancy effects and Warwick Davis' engaging acting can't quite make up for Willow's plodding pace and unoriginal plot.,NEUTRAL
"Nov 30, 2022","I grew up watching this movie (heavy rotation), a top notch, fun family fantasy film.  If you are looking for platinum tier sword and sorcery flick from the 80s with practical effects, look no further.  Willow sort has this charm that keeps pulling you in, and to top it off it has the greatest swordsman to ever live in it.",NEUTRAL
"Nov 27, 2022","terrible acting, generic script, this is fifty shades of child abduction",NEUTRAL
"Nov 17, 2022","Classic fantasy, charming and fun for the whole family. Much beloved by a generation for a reason. Beautiful sets and costumes, memorable dialog and wonderful characters.",NEUTRAL
