Date,Score,Reviews
"Apr 3, 2023",POSITIVE,This movie is one of those that really makes the audience think. It takes us through the mind of an avid gambler and leaves the audience both entertained and contemplating gambling addiction.
"Apr 3, 2023",POSITIVE,Great movie!!! Like😉
"Mar 31, 2023",POSITIVE,"Not usually one to get emotionally attached to a movie, however, being a person who micromanages his money this movie literally stressed me out.  I had to walk away a few times.  I think that makes the movie a success.  I'm generally able to figure out the plot of a movie quick but this movie made turns where I had it figured out."
"Mar 24, 2023",POSITIVE,Sandler's best performance and its not even close. Absolutely incredible movie with a massive ending. Movies don't get much better than this.
"Mar 6, 2023",POSITIVE,"This movie knocked me on my ass. I usually can't see what most others do in so called ""artful character piece"" films. This is a notable exception. It held my attention through the admittedly quite long runtime. And the last act is a whirlwind of emotions. This was probably the best movie I watched in 2022. I will definitely be revisiting it, to see if it might be worth owing a physical copy. 9/10"
"Feb 27, 2023",NEUTRAL,"If you want to level your frustration to 99,9%, watch this exhausting yet oddly attracting movie till its cathartic ending. Sandler delivers like a million lines of dialogue in a standout performance. What a liberating feeling when this fully charged character finally shuts up."
"Feb 24, 2023",POSITIVE,"""Uncut Gems"" was a remarkable take on a crime story that managed to be interesting, emotional, and incredibly enjoyable. Although the setup, which lasted about 20 minutes, was rather confusing and had too much happening at once for a movie's beginning, it immediately picked up. This movie's direction and script blended together in an absolutely extraordinary way, that led to layers which were complex, but brilliantly written and shown. It was a film made up of multiple plotlines that were able to create one exceptional story, something that most movies are unable to do. The acting was out of this world, Adam Sandler giving a performance that even the best of actors would be unable to execute. This movie has anxiety-inducing scenes that build upon each other to put you in such suspense you'll want to shut the TV off, but your eyes are glued to the screen. When it comes to characters, the main one is outstandingly written, with the audience hating him so much, yet wanting him to succeed more than anything. However, the other characters are not very appealing, as we don't get to dig into their personalities much. Besides this and the beginning of the film, ""Uncut Gems"" managed to surprise me and engulf me in a journey unlike any other."
"Feb 15, 2023",NEUTRAL,"Excellent performances and multiple viscerally anxiety-inducing scenes help prop up a rather hollow story of gambling addiction. The story constantly speeds up, no one learns anything, and it all ends abruptly after overstaying its welcome slightly. The acting, however, is top-notch. LaKeith Stanfield continues to make a case for his outstanding acting ability throughout the film. Idina Menzel shines as the wife saddled to Sandler's gambling addict. Sandler himself has certainly never been better and add to that a surprisingly good performance by Kevin Garnett you have a well-acted movie with no real direction outside of ""it's Requiem for a Dream but for gambling."""
"Feb 15, 2023",POSITIVE,I love this movie so much. It's just non stop amazingness from start to finish
"Feb 9, 2023",POSITIVE,"Absolutely one of my favorite movies from the last few years. The acting from everyone was top notch. One of the best Adam Sandler movies ever, and easily his best acting ever. The film is very fast paced which was such a fun ride. The story had me on the edge of my seat the whole way through."
"Jan 29, 2023",POSITIVE,This really surprised me with how good it was. Intense and thrilling with a devastating conclusion. Superb.
"Jan 29, 2023",POSITIVE,"Well made and quality acting, Adam Sandler is a legend"
"Jan 28, 2023",POSITIVE,"A charismatic jeweller makes a high-stakes bet that could lead to the windfall of a lifetime. In a precarious high-wire act, he must balance business, family and adversaries on all sides in pursuit of the ultimate win.

Uncut gems is one of those movies of the last 5 years, that people have been talking about a lot, that I had not seen yet. The movie definitely gives Adam Sandler a career best performance, or at least one of his best performance to date. The movie itself is beautifully shot, with an incredible opening title sequence, that looked just so gorgeous. The movie takes you to a world that most of us have never been to, the world of big money and taking big risks. I myself wasnt that emotionally connected to the story and characters, as maybe a lot of other people were, however that ending definitely hit me. The movie itself has some really high tension moments, that definitely brought me to the edge of my seat, overall a total blast of a movie!"
"Jan 28, 2023",POSITIVE,Excellent thriller texture and amience. Chest was tight the entire movie - another great addition to A24's catalog.
"Jan 22, 2023",NEUTRAL,"Story is quite interesting, but sorry, Safdies' style really irritates me. BG noise is just simply too loud. Was I watching a movie or a dash cam video?"
"Jan 21, 2023",NEGATIVE,Adam Sandler should retire :) Was never funny or entertaining
"Jan 19, 2023",POSITIVE,"This movie did everything it was supposed to. Extremely tense on the edge thriller. Honestly Sandler‘s best work. This movie was so hard to watch but impossible to look away. Watch it, thank me later"
"Jan 16, 2023",NEUTRAL,"C´mon men! You look at Adam Sandler with ""bad and sad face"" and you give 91% But you look at one of the best movies about space and science fiction like Interestellar and you only give 73%. Really? I mean, this is a good movie but is not the big deal."
